# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[04/12/22 13:28:31]
0,,1,0:00.000.000,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,,2,0:00.000.000,,,,,,<Host connected>,
0,FS,3,0:00.000.864,,,,,,<Full-speed>,
0,FS,4,0:00.001.111,,,,,,<Manual Trigger>,
0,FS,5,0:00.295.945,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,6,0:00.027.865,288.013.666 ms,7 B,,49,01,IN txn   [9 POLL],80 80 80 80 0F 04 00
1,FS,7,0:00.027.865,256.005.333 ms,,,49,01,   [9 IN-NAK],
1,FS,8,0:00.315.867,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,9,0:00.315.870,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,10,0:00.315.878,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,11,0:01.156.949,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,12,0:00.347.892,831.991.583 ms,7 B,,49,01,IN txn   [26 POLL],80 80 80 80 0F 00 00
1,FS,13,0:00.347.892,799.983.250 ms,,,49,01,   [26 IN-NAK],
1,FS,14,0:01.179.872,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,15,0:01.179.875,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,16,0:01.179.883,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,17,0:01.703.952,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,18,0:01.211.880,512.007.333 ms,7 B,,49,01,IN txn   [16 POLL],80 80 80 80 0F 04 00
1,FS,19,0:01.211.880,479.998.833 ms,,,49,01,   [16 IN-NAK],
1,FS,20,0:01.723.875,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,21,0:01.723.879,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,22,0:01.723.887,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,23,0:02.649.956,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,24,0:01.755.884,896.008.250 ms,7 B,,49,01,IN txn   [28 POLL],80 80 80 80 0F 00 00
1,FS,25,0:01.755.884,863.999.833 ms,,,49,01,   [28 IN-NAK],
1,FS,26,0:02.651.880,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,27,0:02.651.884,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,28,0:02.651.892,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,29,0:03.112.958,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,30,0:02.683.905,447.990.000 ms,7 B,,49,01,IN txn   [14 POLL],80 80 80 80 0F 04 00
1,FS,31,0:02.683.905,415.981.583 ms,,,49,01,   [14 IN-NAK],
1,FS,32,0:03.131.883,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,33,0:03.131.887,6.666 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,34,0:03.131.894,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,35,0:03.887.962,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,36,0:03.163.907,735.992.250 ms,7 B,,49,01,IN txn   [23 POLL],80 80 80 80 0F 00 00
1,FS,37,0:03.163.907,703.983.916 ms,,,49,01,   [23 IN-NAK],
1,FS,38,0:03.899.888,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,39,0:03.899.891,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,40,0:03.899.899,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,41,0:04.815.966,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,42,0:03.931.913,895.992.250 ms,7 B,,49,01,IN txn   [28 POLL],80 80 80 80 0F 04 00
1,FS,43,0:03.931.913,863.983.833 ms,,,49,01,   [28 IN-NAK],
1,FS,44,0:04.827.893,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,45,0:04.827.896,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,46,0:04.827.904,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,47,0:05.754.970,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,48,0:04.859.902,896.008.166 ms,7 B,,49,01,IN txn   [28 POLL],80 80 80 80 0F 00 00
1,FS,49,0:04.859.902,863.999.750 ms,,,49,01,   [28 IN-NAK],
1,FS,50,0:05.755.898,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,51,0:05.755.901,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,52,0:05.755.909,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,53,0:06.531.974,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,54,0:05.787.906,768.008.250 ms,7 B,,49,01,IN txn   [24 POLL],80 80 80 80 0F 04 00
1,FS,55,0:05.787.906,735.999.916 ms,,,49,01,   [24 IN-NAK],
1,FS,56,0:06.555.903,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,57,0:06.555.906,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,58,0:06.555.914,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,59,0:06.977.976,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,60,0:06.587.911,416.006.250 ms,7 B,,49,01,IN txn   [13 POLL],80 80 80 80 0F 00 00
1,FS,61,0:06.587.911,383.997.833 ms,,,49,01,   [13 IN-NAK],
1,FS,62,0:07.003.905,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,63,0:07.003.909,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,64,0:07.003.917,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,65,0:07.599.979,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,66,0:07.035.917,576.003.583 ms,7 B,,49,01,IN txn   [18 POLL],80 80 80 80 0F 04 00
1,FS,67,0:07.035.917,543.995.250 ms,,,49,01,   [18 IN-NAK],
1,FS,68,0:07.611.909,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,69,0:07.611.912,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,70,0:07.611.920,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,71,0:08.287.982,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,72,0:07.643.918,672.006.333 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 00 00
1,FS,73,0:07.643.918,639.998.000 ms,,,49,01,   [21 IN-NAK],
1,FS,74,0:08.315.913,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,75,0:08.315.916,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,76,0:08.315.924,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,77,0:08.953.985,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,78,0:08.347.921,608.007.083 ms,7 B,,49,01,IN txn   [19 POLL],80 80 80 80 0F 04 00
1,FS,79,0:08.347.921,575.998.666 ms,,,49,01,   [19 IN-NAK],
1,FS,80,0:08.955.916,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,81,0:08.955.920,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,82,0:08.955.928,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,83,0:09.840.989,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,84,0:08.987.941,863.992.166 ms,7 B,,49,01,IN txn   [27 POLL],80 80 80 80 0F 00 00
1,FS,85,0:08.987.941,831.983.750 ms,,,49,01,   [27 IN-NAK],
1,FS,86,0:09.851.921,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,87,0:09.851.925,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,88,0:09.851.933,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,89,0:10.577.993,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,90,0:09.883.930,704.007.916 ms,7 B,,49,01,IN txn   [22 POLL],80 80 80 80 0F 04 00
1,FS,91,0:09.883.930,671.999.500 ms,,,49,01,   [22 IN-NAK],
1,FS,92,0:10.587.926,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,93,0:10.587.929,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,94,0:10.587.937,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,95,0:11.276.996,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,96,0:10.619.934,672.007.666 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 00 00
1,FS,97,0:10.619.934,639.999.250 ms,,,49,01,   [21 IN-NAK],
1,FS,98,0:11.291.930,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,99,0:11.291.933,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,100,0:11.291.941,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,101,0:12.086.000,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,102,0:11.323.938,768.007.916 ms,7 B,,49,01,IN txn   [24 POLL],80 80 80 80 0F 04 00
1,FS,103,0:11.323.938,735.999.583 ms,,,49,01,   [24 IN-NAK],
1,FS,104,0:12.091.934,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,105,0:12.091.938,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,106,0:12.091.945,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,107,0:12.488.002,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,108,0:12.123.960,383.988.250 ms,7 B,,49,01,IN txn   [12 POLL],80 80 80 80 0F 00 00
1,FS,109,0:12.123.960,351.979.833 ms,,,49,01,   [12 IN-NAK],
1,FS,110,0:12.507.937,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,111,0:12.507.940,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,112,0:12.507.948,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,113,0:13.414.006,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,114,0:12.539.945,896.009.000 ms,7 B,,49,01,IN txn   [28 POLL],80 80 80 80 0F 04 00
1,FS,115,0:12.539.945,864.000.500 ms,,,49,01,   [28 IN-NAK],
1,FS,116,0:13.435.942,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,117,0:13.435.945,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,118,0:13.435.953,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,119,0:14.374.010,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,120,0:13.467.951,928.008.000 ms,7 B,,49,01,IN txn   [29 POLL],80 80 80 80 0F 00 00
1,FS,121,0:13.467.951,895.999.666 ms,,,49,01,   [29 IN-NAK],
