# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[04/12/22 13:14:22]
0,,1,0:00.000.000,,,,,,<Host connected>,
0,HS,2,0:00.000.000,,,,,,<High-speed>,
0,HS,3,0:00.000.124,83 ns,,,,,[1 SOF],[Frame: 1000.x] 
0,HS,4,0:00.000.953,,,,,,<Manual Trigger>,
0,HS,5,0:00.000.124,750.500 us,,T,48,02,[7 IN-NAK],
0,HS,6,0:00.000.999,1.999.891.333 s,,,48,02,[16000 IN-NAK],[Periodic Timeout]
0,HS,7,0:02.001.015,1.999.891.316 s,,,48,02,[16000 IN-NAK],[Periodic Timeout]
0,HS,8,0:04.001.031,1.999.891.250 s,,,48,02,[16000 IN-NAK],[Periodic Timeout]
0,HS,9,0:06.001.047,1.999.891.200 s,,,48,02,[16000 IN-NAK],[Periodic Timeout]
0,HS,10,0:08.001.062,1.999.891.166 s,,,48,02,[16000 IN-NAK],[Periodic Timeout]
0,HS,11,0:11.599.157,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,12,0:11.599.157,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,13,0:10.001.078,1.598.138.650 s,12 B,,48,02,IN txn   [12785 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,14,0:10.001.078,1.598.012.950 s,,,48,02,   [12785 IN-NAK],
1,HS,15,0:11.599.215,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,16,0:11.599.216,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,17,0:11.599.216,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,18,0:11.599.300,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,19,0:11.599.300,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,20,0:11.599.302,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,21,0:11.599.302,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,22,0:11.599.306,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,23,0:11.599.306,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,24,0:11.599.307,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,25,0:11.599.307,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,26,0:11.599.309,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,27,0:11.599.309,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,28,0:11.599.310,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,29,0:11.599.310,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,30,0:11.599.311,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,31,0:11.599.311,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,32,0:11.599.315,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,33,0:11.599.315,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,34,0:11.599.342,1.200 us,12 B,,48,02,IN txn,80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,35,0:11.599.342,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,36,0:11.599.342,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,37,0:11.599.343,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,38,0:11.599.476,25.244.950 ms,12 B,,48,02,IN txn   [202 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,39,0:11.599.476,25.114.800 ms,,,48,02,   [202 IN-NAK],
1,HS,40,0:11.624.720,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,41,0:11.624.720,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,42,0:11.624.721,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,43,0:11.624.851,1.066.248.916 s,12 B,,48,02,IN txn   [8530 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,44,0:11.624.851,1.066.123.216 s,,,48,02,   [8530 IN-NAK],
1,HS,45,0:12.691.099,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,46,0:12.691.099,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,47,0:12.691.100,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,48,0:13.221.496,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,49,0:12.691.234,530.369.733 ms,12 B,,48,02,IN txn   [4243 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,50,0:12.691.234,530.244.050 ms,,,48,02,   [4243 IN-NAK],
1,HS,51,0:13.221.603,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,52,0:13.221.603,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,53,0:13.221.604,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,54,0:13.648.499,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,55,0:13.221.739,426.868.883 ms,12 B,,48,02,IN txn   [3415 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,56,0:13.221.739,426.743.183 ms,,,48,02,   [3415 IN-NAK],
1,HS,57,0:13.648.606,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,58,0:13.648.607,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,59,0:13.648.607,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,60,0:14.309.503,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,61,0:13.648.742,660.870.500 ms,12 B,,48,02,IN txn   [5287 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,62,0:13.648.742,660.744.800 ms,,,48,02,   [5287 IN-NAK],
1,HS,63,0:14.309.611,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,64,0:14.309.612,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,65,0:14.309.613,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,66,0:15.307.509,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,67,0:14.309.747,997.873.333 ms,12 B,,48,02,IN txn   [7983 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,68,0:14.309.747,997.747.633 ms,,,48,02,   [7983 IN-NAK],
