# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[04/12/22 13:44:42]
0,,1,0:00.000.000,,,,,,<Host connected>,
0,FS,2,0:00.000.709,,,,,,<Full-speed>,
0,FS,3,0:00.001.222,,,,,,<Manual Trigger>,
0,FS,4,0:00.001.710,1.996.015.000 s,,,10,02,[500 IN-NAK],[Periodic Timeout]
0,FS,5,0:02.001.721,1.996.015.000 s,,,10,02,[500 IN-NAK],[Periodic Timeout]
0,FS,6,0:04.001.732,1.996.015.000 s,,,10,02,[500 IN-NAK],[Periodic Timeout]
0,FS,7,0:06.001.743,1.680.021.916 s,8 B,,10,02,IN txn   [420 POLL],03 20 15 04 80 00 00 00
1,FS,8,0:06.001.743,1.676.013.166 s,,,10,02,   [420 IN-NAK],
1,FS,9,0:07.681.753,2.083 us,3 B,,10,02,   IN packet,69 0A F1
1,FS,10,0:07.681.756,7.416 us,11 B,,10,02,   DATA1 packet,4B 03 20 15 04 80 00 00 00 04 E6
1,FS,11,0:07.681.764,750 ns,1 B,,10,02,   ACK packet,D2
0,FS,12,0:07.685.761,1.512.004.166 s,,,10,02,[379 IN-NAK],
0,FS,13,0:09.199.767,16.383 us,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,14,0:09.199.783,12.576.850 ms,,,,,<Reset> / <Target disconnected>,
0,FS,15,0:09.212.360,,,,,,<Full-speed>,
0,FS,16,0:09.322.369,54.753.583 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,17,0:09.377.122,,,,,,<Full-speed>,
0,FS,18,0:09.410.374,141.250 us,18 B,,00,00,Get Device Descriptor,Index=0 Length=64
1,FS,19,0:09.410.374,12.583 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00
2,FS,20,0:09.410.374,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,21,0:09.410.377,7.416 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94
2,FS,22,0:09.410.386,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,23,0:09.410.399,97.416 us,18 B,,00,00,   IN txn   [3 POLL],12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01
2,FS,24,0:09.410.399,56.083 us,,,00,00,      [3 IN-NAK],
2,FS,25,0:09.410.477,2.083 us,3 B,,00,00,      IN packet,69 00 10
2,FS,26,0:09.410.480,14.183 us,21 B,,00,00,      DATA1 packet,4B 12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01 09 F7
2,FS,27,0:09.410.495,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,28,0:09.410.508,7.250 us,0 B,,00,00,   OUT txn,
2,FS,29,0:09.410.508,2.083 us,3 B,,00,00,      OUT packet,E1 00 10
2,FS,30,0:09.410.511,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00
2,FS,31,0:09.410.514,750 ns,1 B,,00,00,      ACK packet,D2
0,FS,32,0:09.410.646,54.753.300 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,33,0:09.465.399,,,,,,<Full-speed>,
0,FS,34,0:09.498.352,46.500 us,0 B,,00,00,Set Address,Address=11
1,FS,35,0:09.498.352,12.666 us,8 B,,00,00,   SETUP txn,00 05 0B 00 00 00 00 00
2,FS,36,0:09.498.352,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,37,0:09.498.355,7.516 us,11 B,,00,00,      DATA0 packet,C3 00 05 0B 00 00 00 00 00 EB 8F
2,FS,38,0:09.498.364,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,39,0:09.498.366,32.500 us,0 B,,00,00,   IN txn   [1 POLL],
2,FS,40,0:09.498.366,4.000 us,,,00,00,      [1 IN-NAK],
2,FS,41,0:09.498.391,2.083 us,3 B,,00,00,      IN packet,69 00 10
2,FS,42,0:09.498.395,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00
2,FS,43,0:09.498.398,750 ns,1 B,,00,00,      ACK packet,D2
